numero,colecao,tipo,idioma
001/091,PAF,normal,portugues
002/091,PAF,normal,portugues
003/091,PAF,normal,portugues
004/091,PAF,normal,portugues
005/091,PAF,normal,portugues
006/091,PAF,normal,portugues
007/091,PAF,normal,portugues
008/091,PAF,normal,portugues
009/091,PAF,normal,portugues
011/091,PAF,normal,portugues
012/091,PAF,normal,portugues
014/091,PAF,normal,portugues
016/091,PAF,normal,portugues
017/091,PAF,normal,portugues
018/091,PAF,normal,portugues
020/091,PAF,normal,portugues
021/091,PAF,normal,portugues
022/091,PAF,normal,portugues
023/091,PAF,normal,portugues
025/091,PAF,normal,portugues
027/091,PAF,normal,portugues
028/091,PAF,normal,portugues
029/091,PAF,normal,portugues
030/091,PAF,normal,portugues
031/091,PAF,normal,portugues
032/091,PAF,normal,portugues
033/091,PAF,normal,portugues
034/091,PAF,normal,portugues
035/091,PAF,normal,portugues
036/091,PAF,normal,portugues
038/091,PAF,normal,portugues
039/091,PAF,normal,portugues
041/091,PAF,normal,portugues
042/091,PAF,normal,portugues
044/091,PAF,normal,portugues
045/091,PAF,normal,portugues
046/091,PAF,normal,portugues
048/091,PAF,normal,portugues
049/091,PAF,normal,portugues
050/091,PAF,normal,portugues
051/091,PAF,normal,portugues
052/091,PAF,normal,portugues
053/091,PAF,normal,portugues
054/091,PAF,normal,portugues
055/091,PAF,normal,portugues
056/091,PAF,normal,portugues
057/091,PAF,normal,portugues
058/091,PAF,normal,portugues
059/091,PAF,normal,portugues
060/091,PAF,normal,portugues
061/091,PAF,normal,portugues
062/091,PAF,normal,portugues
064/091,PAF,normal,portugues
066/091,PAF,normal,portugues
068/091,PAF,normal,portugues
069/091,PAF,normal,portugues
071/091,PAF,normal,portugues
072/091,PAF,normal,portugues
073/091,PAF,normal,portugues
074/091,PAF,normal,portugues
075/091,PAF,normal,portugues
076/091,PAF,normal,portugues
077/091,PAF,normal,portugues
078/091,PAF,normal,portugues
079/091,PAF,normal,portugues
080/091,PAF,normal,portugues
081/091,PAF,normal,portugues
082/091,PAF,normal,portugues
083/091,PAF,normal,portugues
084/091,PAF,normal,portugues
085/091,PAF,normal,portugues
086/091,PAF,normal,portugues
088/091,PAF,normal,portugues
089/091,PAF,normal,portugues
090/091,PAF,normal,portugues
091/091,PAF,normal,portugues
110/091,PAF,foil,portugues
