numero,colecao,tipo,idioma,preco,quantidade
001/091,PAF,normal,portugues,0.15,8
002/091,PAF,normal,portugues,0.15,0
003/091,PAF,normal,portugues,0.15,7
004/091,PAF,normal,portugues,0.15,4
005/091,PAF,normal,portugues,0.15,0
006/091,PAF,normal,portugues,0.15,0
007/091,PAF,normal,portugues,0.15,8
008/091,PAF,normal,portugues,0.15,16
009/091,PAF,normal,portugues,0.15,4
011/091,PAF,normal,portugues,0.15,8
012/091,PAF,normal,portugues,0.15,5
014/091,PAF,normal,portugues,0.15,6
016/091,PAF,normal,portugues,0.15,9
017/091,PAF,normal,portugues,0.15,7
018/091,PAF,normal,portugues,0.15,10
020/091,PAF,normal,portugues,0.15,7
021/091,PAF,normal,portugues,0.15,9
022/091,PAF,normal,portugues,0.15,8
023/091,PAF,normal,portugues,0.15,10
025/091,PAF,normal,portugues,0.15,8
027/091,PAF,normal,portugues,0.15,7
028/091,PAF,normal,portugues,0.15,8
029/091,PAF,normal,portugues,0.15,0
030/091,PAF,normal,portugues,0.15,10
031/091,PAF,normal,portugues,0.15,10
032/091,PAF,normal,portugues,0.15,10
033/091,PAF,normal,portugues,0.15,7
034/091,PAF,normal,portugues,0.15,11
035/091,PAF,normal,portugues,0.15,8
036/091,PAF,normal,portugues,0.15,7
038/091,PAF,normal,portugues,0.15,7
039/091,PAF,normal,portugues,0.15,9
041/091,PAF,normal,portugues,0.15,10
042/091,PAF,normal,portugues,0.15,7
044/091,PAF,normal,portugues,0.15,7
045/091,PAF,normal,portugues,0.15,7
046/091,PAF,normal,portugues,0.15,10
048/091,PAF,normal,portugues,0.15,5
049/091,PAF,normal,portugues,0.15,10
050/091,PAF,normal,portugues,0.15,11
051/091,PAF,normal,portugues,0.15,6
052/091,PAF,normal,portugues,0.15,9
053/091,PAF,normal,portugues,0.15,0
054/091,PAF,normal,portugues,0.15,0
055/091,PAF,normal,portugues,0.15,11
056/091,PAF,normal,portugues,0.15,7
057/091,PAF,normal,portugues,0.15,8
058/091,PAF,normal,portugues,0.15,8
059/091,PAF,normal,portugues,0.15,0
060/091,PAF,normal,portugues,0.15,9
061/091,PAF,normal,portugues,0.15,7
062/091,PAF,normal,portugues,0.15,9
064/091,PAF,normal,portugues,0.15,7
066/091,PAF,normal,portugues,0.15,0
068/091,PAF,normal,portugues,0.15,8
069/091,PAF,normal,portugues,0.15,0
071/091,PAF,normal,portugues,0.15,11
072/091,PAF,normal,portugues,0.15,8
073/091,PAF,normal,portugues,0.15,10
074/091,PAF,normal,portugues,0.15,11
075/091,PAF,normal,portugues,0.15,0
076/091,PAF,normal,portugues,0.15,3
077/091,PAF,normal,portugues,0.15,3
078/091,PAF,normal,portugues,0.15,8
079/091,PAF,normal,portugues,0.15,11
080/091,PAF,normal,portugues,0.15,2
081/091,PAF,normal,portugues,0.15,8
082/091,PAF,normal,portugues,0.15,9
083/091,PAF,normal,portugues,0.15,7
084/091,PAF,normal,portugues,0.15,6
085/091,PAF,normal,portugues,0.15,6
086/091,PAF,normal,portugues,0.15,7
088/091,PAF,normal,portugues,0.15,6
089/091,PAF,normal,portugues,0.15,8
090/091,PAF,normal,portugues,0.15,5
091/091,PAF,normal,portugues,0.15,8
