numero,colecao,tipo,idioma,preco,quantidade
052/131,PRE,foil,portugues,10.00,1
037/131,PRE,foil,portugues,10.00,1
025/131,PRE,foil,portugues,9.99,2
138/131,PRE,foil,ingles,9.99,1
044/131,PRE,reverse-foil,ingles,8.99,1
036/131,PRE,foil,portugues,8.99,3
143/131,PRE,foil,ingles,8.99,1
027/131,PRE,normal,portugues,8.99,1
051/131,PRE,normal,portugues,8.49,2
119/131,PRE,normal,portugues,8.00,2
132/131,PRE,foil,portugues,8.00,3
133/131,PRE,foil,portugues,7.99,4
141/131,PRE,foil,portugues,7.99,3
049/131,PRE,foil,portugues,7.99,1
134/131,PRE,foil,portugues,7.50,1
139/131,PRE,foil,portugues,7.00,1
064/131,PRE,normal,portugues,7.00,3
004/131,PRE,foil,portugues,6.99,1
094/131,PRE,foil,portugues,6.99,1
101/131,PRE,foil,portugues,6.99,1
120/131,PRE,foil,portugues,6.99,1
121/131,PRE,foil,portugues,6.99,1
118/131,PRE,foil,portugues,6.99,2
129/131,PRE,normal,portugues,6.99,1
011/131,PRE,normal,portugues,6.99,2
031/131,PRE,normal,portugues,6.00,1
076/131,PRE,normal,portugues,6.00,1
140/131,PRE,foil,portugues,6.00,1
017/131,PRE,normal,portugues,5.49,2
138/131,PRE,foil,portugues,5.00,2
128/131,PRE,normal,portugues,5.00,3
131/131,PRE,normal,portugues,5.00,3
143/131,PRE,foil,portugues,5.00,3
083/131,PRE,foil,portugues,4.99,1
044/131,PRE,normal,portugues,4.99,2
111/131,PRE,foil,portugues,3.00,1
095/131,PRE,reverse-foil,ingles,2.99,1
050/131,PRE,foil,portugues,2.99,2
062/131,PRE,foil,portugues,2.99,3
090/131,PRE,foil,portugues,2.99,2
095/131,PRE,foil,portugues,2.99,3
102/131,PRE,foil,portugues,2.99,3
108/131,PRE,foil,portugues,2.99,4
125/131,PRE,foil,portugues,2.99,1
126/131,PRE,foil,portugues,2.99,2
054/131,PRE,foil,portugues,2.99,1
057/131,PRE,foil,portugues,2.49,2
067/131,PRE,foil,portugues,2.49,3
109/131,PRE,foil,portugues,2.49,1
020/131,PRE,reverse-foil,ingles,1.99,1
035/131,PRE,reverse-foil,ingles,1.99,1
083/131,PRE,reverse-foil,ingles,1.99,1
094/131,PRE,reverse-foil,ingles,1.99,1
115/131,PRE,reverse-foil,ingles,1.99,1
005/131,PRE,reverse-foil,portugues,1.99,5
013/131,PRE,reverse-foil,portugues,1.99,5
022/131,PRE,reverse-foil,portugues,1.99,13
033/131,PRE,reverse-foil,portugues,1.99,2
040/131,PRE,reverse-foil,portugues,1.99,12
071/131,PRE,reverse-foil,portugues,1.99,8
078/131,PRE,reverse-foil,portugues,1.99,1
101/131,PRE,reverse-foil,portugues,1.99,1
105/131,PRE,reverse-foil,portugues,1.99,4
005/131,PRE,normal,portugues,1.99,18
022/131,PRE,normal,portugues,1.99,15
025/131,PRE,normal,portugues,1.99,15
029/131,PRE,normal,portugues,1.99,16
040/131,PRE,normal,portugues,1.99,14
059/131,PRE,normal,portugues,1.99,8
080/131,PRE,normal,portugues,1.99,11
001/131,PRE,foil,portugues,1.99,2
002/131,PRE,foil,portugues,1.99,1
003/131,PRE,foil,portugues,1.99,1
010/131,PRE,foil,portugues,1.99,1
024/131,PRE,foil,portugues,1.99,1
042/131,PRE,foil,portugues,1.99,1
053/131,PRE,foil,portugues,1.99,1
081/131,PRE,foil,portugues,1.99,1
089/131,PRE,foil,portugues,1.99,1
096/131,PRE,foil,portugues,1.99,2
098/131,PRE,foil,portugues,1.99,1
099/131,PRE,foil,portugues,1.99,1
109/131,PRE,foil,portugues,1.99,4
110/131,PRE,foil,portugues,1.99,1
130/131,PRE,foil,portugues,1.99,1
013/131,PRE,normal,portugues,1.99,13
033/131,PRE,normal,portugues,1.99,14
029/131,PRE,reverse-foil,portugues,1.99,8
059/131,PRE,reverse-foil,portugues,1.99,7
086/131,PRE,foil,portugues,1.99,1
016/131,PRE,reverse-foil,portugues,1.49,3
045/131,PRE,normal,ingles,1.49,1
049/131,PRE,normal,ingles,1.49,1
001/131,PRE,reverse-foil,portugues,0.99,6
002/131,PRE,reverse-foil,portugues,0.99,3
003/131,PRE,reverse-foil,portugues,0.99,3
007/131,PRE,reverse-foil,portugues,0.99,5
009/131,PRE,reverse-foil,portugues,0.99,1
010/131,PRE,reverse-foil,portugues,0.99,4
015/131,PRE,reverse-foil,portugues,0.99,2
018/131,PRE,reverse-foil,portugues,0.99,1
019/131,PRE,reverse-foil,portugues,0.99,2
021/131,PRE,reverse-foil,portugues,0.99,7
024/131,PRE,reverse-foil,portugues,0.99,3
025/131,PRE,reverse-foil,portugues,0.99,2
036/131,PRE,reverse-foil,portugues,0.99,6
037/131,PRE,reverse-foil,portugues,0.99,1
038/131,PRE,reverse-foil,portugues,0.99,5
039/131,PRE,reverse-foil,portugues,0.99,3
042/131,PRE,reverse-foil,portugues,0.99,1
043/131,PRE,reverse-foil,portugues,0.99,5
045/131,PRE,reverse-foil,portugues,0.99,1
046/131,PRE,reverse-foil,portugues,0.99,8
047/131,PRE,reverse-foil,portugues,0.99,1
048/131,PRE,reverse-foil,portugues,0.99,2
049/131,PRE,reverse-foil,portugues,0.99,4
050/131,PRE,reverse-foil,portugues,0.99,3
052/131,PRE,reverse-foil,portugues,0.99,6
053/131,PRE,reverse-foil,portugues,0.99,3
054/131,PRE,reverse-foil,portugues,0.99,4
055/131,PRE,reverse-foil,portugues,0.99,4
057/131,PRE,reverse-foil,portugues,0.99,4
061/131,PRE,reverse-foil,portugues,0.99,1
062/131,PRE,reverse-foil,portugues,0.99,4
063/131,PRE,reverse-foil,portugues,0.99,6
065/131,PRE,reverse-foil,portugues,0.99,2
066/131,PRE,reverse-foil,portugues,0.99,1
067/131,PRE,reverse-foil,portugues,0.99,6
068/131,PRE,reverse-foil,portugues,0.99,9
069/131,PRE,reverse-foil,portugues,0.99,2
070/131,PRE,reverse-foil,portugues,0.99,1
072/131,PRE,reverse-foil,portugues,0.99,6
074/131,PRE,reverse-foil,portugues,0.99,1
079/131,PRE,reverse-foil,portugues,0.99,2
081/131,PRE,reverse-foil,portugues,0.99,4
083/131,PRE,reverse-foil,portugues,0.99,7
084/131,PRE,reverse-foil,portugues,0.99,4
085/131,PRE,reverse-foil,portugues,0.99,2
086/131,PRE,reverse-foil,portugues,0.99,2
087/131,PRE,reverse-foil,portugues,0.99,1
088/131,PRE,reverse-foil,portugues,0.99,2
089/131,PRE,reverse-foil,portugues,0.99,1
090/131,PRE,reverse-foil,portugues,0.99,5
093/131,PRE,reverse-foil,portugues,0.99,4
094/131,PRE,reverse-foil,portugues,0.99,5
095/131,PRE,reverse-foil,portugues,0.99,2
096/131,PRE,reverse-foil,portugues,0.99,7
